subject_id,group,p,scenario,ft_strategy,seed,encoder_checkpoint,lr_encoder,lr_head,weight_decay,warmup_epochs,selected_threshold,val_f1_at_selected_threshold,n_calib,n_val,n_test,n_pos_calib,n_pos_val,n_pos_test,best_epoch,best_val_loss,stopped_epoch,auc,accuracy,f1,precision,recall,fdr,run_tag,history_path,predictions_path,status,error,ssl_epoch,ssl_checkpoint
subj_092,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.365,0.20550458715596331,4454,891,1908,369,74,159,3,0.675714020911023,13,0.6537536274097329,0.5146750524109015,0.21124361158432708,0.12216748768472907,0.779874213836478,0.1630715085571217,benchmark__subj_092__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_093,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.33999999999999997,0.18406593406593408,4578,916,1961,379,76,163,3,0.6941044491971945,13,0.690743634713417,0.2738398776134625,0.17972350230414746,0.09917355371900827,0.9570552147239264,0.27014494969026853,benchmark__subj_093__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_095,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.05,0.15267175572519084,4839,968,2073,401,80,173,1,0.69568994616674,11,0.5408731365987223,0.08345393150024119,0.15405164737310775,0.08345393150024119,1.0,0.004281966121814957,benchmark__subj_095__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_096,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.15769944341372913,5164,1033,2213,427,85,184,1,0.6801483979645219,11,0.5329703002121413,0.12065070040668775,0.15317667536988686,0.08325449385052035,0.9565217391304348,0.005295879555743754,benchmark__subj_096__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_097,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.33999999999999997,0.1583710407239819,4178,836,1790,348,70,149,1,0.69107123738841,11,0.5627236625236699,0.08994413407821229,0.15376623376623377,0.08333333333333333,0.9932885906040269,0.011214597897732376,benchmark__subj_097__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_098,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.305,0.15410107705053852,5605,1121,2401,465,93,200,1,0.7051743776217622,11,0.5715458882326216,0.08704706372344856,0.15366795366795366,0.08326359832635984,0.995,0.029088544138660726,benchmark__subj_098__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_099,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.385,0.17670682730923695,4491,899,1924,371,74,161,2,0.6807442755667333,12,0.5928101098142282,0.30509355509355507,0.17008069522036,0.09448275862068965,0.8509316770186336,0.057325077877928496,benchmark__subj_099__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_100,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.1613198900091659,6263,1253,2684,521,104,223,2,0.6943151308647272,12,0.554348281623825,0.2749627421758569,0.16048317515099222,0.08878281622911695,0.8340807174887892,0.037073387419080624,benchmark__subj_100__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_101,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.16633266533066132,5536,1108,2372,459,92,197,2,0.6782888834657221,12,0.5267028414726647,0.23313659359190556,0.15669911914696338,0.08622448979591837,0.8578680203045685,0.001694119517127698,benchmark__subj_101__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_102,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.15508559919436052,5451,1091,2336,447,89,195,1,0.689781855706443,11,0.5378974598498185,0.22902397260273974,0.15406294034758103,0.08479834539813857,0.841025641025641,0.006302024626987611,benchmark__subj_102__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_103,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.39,0.16272469252601704,5596,1120,2397,460,92,200,1,0.6917324049132211,11,0.5528243058716431,0.19524405506883605,0.16239687364307426,0.08892058963385639,0.935,0.017859517002394402,benchmark__subj_103__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_104,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.1653631284916201,4775,955,2046,398,80,170,1,0.6765333669972046,11,0.5304715916217233,0.2404692082111437,0.16090712742980562,0.08858501783590964,0.8764705882352941,0.0021265814286852876,benchmark__subj_104__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_105,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.395,0.3014354066985646,4270,854,1829,353,71,153,7,0.49969086127761375,17,0.7866691624939556,0.640787315472936,0.2642777155655095,0.15945945945945947,0.7712418300653595,0.5497645874889951,benchmark__subj_105__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_122,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.24624277456647398,8673,1735,3716,1169,234,790,1,0.6873713811811177,11,0.5083725568235895,0.2860602798708288,0.3447764880217338,0.21417612764651733,0.8835443037974684,0.0005199649179293692,benchmark__subj_122__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_123,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.33999999999999997,0.21651376146788992,7355,1471,3151,886,177,743,1,0.6883098244829132,11,0.5044138425973539,0.2491272611869248,0.38353309015112036,0.23780290791599354,0.990578734858681,0.00039178130918344735,benchmark__subj_123__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
