subject_id,p,channel_set,auc,f1,accuracy,precision,recall,fdr
subj_131,40,ch7,0.4964457877005405,0.3487511563367252,0.241787829833064,0.2132956152758132,0.9556400506970848,0.0007797018282685
subj_131,60,ch7,0.4991060847334612,0.3421250941974378,0.2948303715670436,0.2133458646616541,0.8631178707224335,0.0006003746760018
subj_131,100,ch7,0.4996366708914237,0.3495412844036697,0.2364028002154012,0.2133856062727527,0.9657794676806084,0.0012290594002881
subj_132,10,ch7,0.5027649182266289,0.3886682552290177,0.2412093328951692,0.2412093328951692,1.0,5.632397165514712e-07
subj_132,20,ch7,0.4978729128879647,0.3183897529734675,0.5103516266841932,0.2396694214876033,0.4741144414168937,2.774791683781964e-05
subj_132,40,ch7,0.503042826140573,0.372744243932794,0.3374958922116332,0.2415322580645161,0.8160762942779292,2.114453286807206e-05
subj_132,60,ch7,0.490898958346855,0.3886682552290177,0.2412093328951692,0.2412093328951692,1.0,0.0001210757309291
subj_132,100,ch7,0.4956018564956697,0.3886682552290177,0.2412093328951692,0.2412093328951692,1.0,0.000804667508628
subj_133,10,ch7,0.4822291836106972,0.3455293353539727,0.2088458518712379,0.2088458518712379,1.0,3.285602528115947e-05
subj_133,20,ch7,0.4947462105478714,0.3455293353539727,0.2088458518712379,0.2088458518712379,1.0,3.332406601390369e-05
subj_133,40,ch7,0.4792115916652365,0.3192754033399377,0.3705836168542266,0.2062157221206581,0.706766917293233,0.0004444323148487
subj_133,60,ch7,0.4892779003413263,0.3169152828595553,0.3648259617901073,0.2043557168784029,0.7055137844611529,1.7888947979932342e-06
subj_133,100,ch7,0.4903677072270488,0.3455293353539727,0.2088458518712379,0.2088458518712379,1.0,0.0014093855673528
subj_134,10,ch7,0.500129997324885,0.352729723657605,0.2141298417894162,0.2141298417894162,1.0,1.2995615793280468e-05
subj_134,20,ch7,0.5183378029125592,0.352729723657605,0.2141298417894162,0.2141298417894162,1.0,0.0021449158131851
subj_134,40,ch7,0.5216487551871806,0.3505260456761611,0.3096017457719585,0.2194730077120822,0.870063694267516,0.0045585499445906
subj_134,60,ch7,0.5246037624055695,0.3317773788150808,0.4923622476813966,0.231,0.5885350318471337,0.0047231913565953
subj_134,100,ch7,0.5256786722586151,0.3494853125784584,0.2932351336606655,0.2176360225140713,0.8866242038216561,0.0042175162721889
subj_155,10,ch7,0.5188803300400371,0.2700482228969459,0.184719728705366,0.1567164179104477,0.975483870967742,0.0046129206734799
subj_155,20,ch7,0.5194725144240284,0.2660944206008583,0.2495511669658887,0.1567455757297173,0.88,0.0035150522546001
subj_155,40,ch7,0.5133121222731356,0.2663101604278075,0.1789347695990424,0.1544984488107549,0.9638709677419356,0.0018150844756027
subj_155,60,ch7,0.6832766521030919,0.3522205206738131,0.6624775583482945,0.2504082743603701,0.5935483870967742,0.2276255252152376
subj_155,100,ch7,0.5199834066586491,0.2693720482770684,0.1667664073409136,0.1558073654390935,0.9935483870967742,0.0023774153065012
subj_156,10,ch7,0.4531348128967429,0.1538461538461538,0.0833333333333333,0.0833333333333333,1.0,0.0144493891929386
subj_156,20,ch7,0.3987876694460816,0.1526778577138289,0.0893470790378006,0.0827556325823223,0.9845360824742267,0.0574007229791708
subj_156,40,ch7,0.5305920830152948,0.1544028950542822,0.0966494845360824,0.0837331007413868,0.9896907216494846,0.0003796938494334
subj_156,60,ch7,0.5689596034744298,0.1538461538461538,0.0833333333333333,0.0833333333333333,1.0,0.0044984088596418
subj_156,100,ch7,0.8018652354129024,0.2771739130434782,0.6572164948453608,0.1681318681318681,0.788659793814433,0.7404717621137904
subj_157,10,ch7,0.4942939136753524,0.2238982549541555,0.2720210847551672,0.1303599104529016,0.7926701570680629,0.0002253602298153
subj_157,20,ch7,0.5081610596443407,0.2339539441450269,0.1324732972673047,0.1324732972673047,1.0,0.0005755111996659
subj_157,40,ch7,0.5037974439814016,0.2340399460850385,0.1328894437508669,0.1325284485151263,1.0,5.395575325542541e-07
subj_157,60,ch7,0.4909147151058924,0.2339539441450269,0.1324732972673047,0.1324732972673047,1.0,3.9662549215594135e-06
subj_157,100,ch7,0.5040562940241806,0.2339539441450269,0.1324732972673047,0.1324732972673047,1.0,0.0004635007774361
subj_158,10,ch7,0.5082453562985478,0.2513368983957219,0.1437308868501529,0.1437308868501529,1.0,0.0001022172696579
subj_158,20,ch7,0.5045543735224587,0.251381707969335,0.1439347604485219,0.1437601957585644,1.0,4.0294059220271215e-05
subj_158,40,ch7,0.5038497129348193,0.2513368983957219,0.1437308868501529,0.1437308868501529,1.0,5.887684436658378e-05
subj_158,60,ch7,0.5388774062816616,0.2544529262086514,0.2831804281345565,0.1495886312640239,0.851063829787234,0.0082367578600588
subj_158,100,ch7,0.8799395474501858,0.5157288435976961,0.7771661569826708,0.375,0.825531914893617,1.5483595772566778
subj_159,10,ch7,0.4735261332672776,0.1993481803367734,0.110708898944193,0.110708898944193,1.0,0.002097869548246
subj_159,20,ch7,0.5126617962947215,0.1993481803367734,0.110708898944193,0.110708898944193,1.0,0.0004485290890032
subj_159,40,ch7,0.4712921335852321,0.1845834773591427,0.2883861236802413,0.1057007125890736,0.7275204359673024,0.0075065795503372
subj_159,60,ch7,0.5093112589147402,0.1985659128516271,0.1233785822021116,0.1104633323105247,0.9809264305177112,0.0006457155405045
subj_159,100,ch7,0.49993899711253,0.1988304093567251,0.1321266968325792,0.1107320099255583,0.9727520435967304,0.0047717813068167
subj_051,10,ch3,0.5166677030052015,0.210455764075067,0.1176029962546816,0.1176029962546816,1.0,0.0030025913218559
subj_051,20,ch3,0.5425989207660614,0.2160834868017188,0.5217228464419476,0.1338403041825095,0.5605095541401274,0.0099844431993998
subj_051,40,ch3,0.545125333881241,0.2161958568738229,0.2205992509363296,0.1225971806920119,0.9140127388535032,0.0075299913391364
subj_051,60,ch3,0.5547754479685962,0.2109561075195644,0.1314606741573033,0.1180952380952381,0.9872611464968152,0.0184786231119316
subj_051,100,ch3,0.757142625414986,0.3597972972972973,0.7161048689138577,0.2448275862068965,0.678343949044586,0.4632921615826901
subj_052,10,ch3,0.497471743010113,0.2105263157894736,0.1176470588235294,0.1176470588235294,1.0,1.348998111114887e-06
subj_052,20,ch3,0.5027854203846917,0.2107667210440456,0.1323529411764706,0.1180124223602484,0.9847560975609756,0.0036357290720379
subj_052,40,ch3,0.4980120959746182,0.2042863657090743,0.3741032998565279,0.1201072386058981,0.6829268292682927,0.0002572962563253
subj_052,60,ch3,0.5408548978782471,0.2133468149646107,0.4418938307030129,0.1278787878787878,0.6432926829268293,0.0060314007408283
subj_052,100,ch3,0.560457564941503,0.2174796747967479,0.4476327116212338,0.1304878048780487,0.6524390243902439,0.0286222387295832
